layer_id,function_id,layer_name,layer_type,function_type,i1_connect,i2_connect,input_h,input_w,input_c,kernel_h,kernel_w,kernel_c,kernel_count,stride,padding,dilation,tile_h,tile_w,pe_type,k,g,s,psum_kb,preprocess_type,preprocess_param0,preprocess_param1
0,0,conv_stem,conv2d,conv2d,4294967295,4294967295,32,32,3,3,3,3,32,2,1,1,14,12,systolic,14,1,12,1,none,0,0
1,0,dw_1,depthwise_conv2d,depthwise_conv2d,4294967295,4294967295,16,16,32,3,3,32,32,1,1,1,14,12,systolic,14,1,12,1,none,0,0
2,0,pw_1,conv2d,conv2d,4294967295,4294967295,16,16,32,1,1,32,64,1,0,1,14,12,systolic,14,1,12,1,none,0,0
